,sumStudentPop,key1,UID,Province_State,POPESTIMATE2019,Long_,Lat,Country_Region,Combined_Key,Admin2,date,case_count,month,pct_change,ratioStudent,casesPerThousand
26962,0.0,"Meigs,Ohio",84039105,Ohio,22907.0,-82.0305041,39.09224872,US,"Meigs, Ohio, US",Meigs,2020-10-01,181,10,0.4251968503937007,0.0,7.901514820797137
24172,0.0,"Meigs,Ohio",84039105,Ohio,22907.0,-82.0305041,39.09224872,US,"Meigs, Ohio, US",Meigs,2020-11-01,238,11,0.3149171270718232,0.0,10.389837167678003
8244,0.0,"Miami,Ohio",84039109,Ohio,106987.0,-84.22871271,40.0543329,US,"Miami, Ohio, US",Miami,2020-07-01,442,7,0.23463687150837997,0.0,4.1313430603718215
5454,0.0,"Miami,Ohio",84039109,Ohio,106987.0,-84.22871271,40.0543329,US,"Miami, Ohio, US",Miami,2020-08-01,762,8,0.7239819004524888,0.0,7.122360660641013
2664,0.0,"Miami,Ohio",84039109,Ohio,106987.0,-84.22871271,40.0543329,US,"Miami, Ohio, US",Miami,2020-09-01,1075,9,0.41076115485564313,0.0,10.047949750904316
26964,0.0,"Miami,Ohio",84039109,Ohio,106987.0,-84.22871271,40.0543329,US,"Miami, Ohio, US",Miami,2020-10-01,1526,10,0.4195348837209303,0.0,14.263415181283706
24174,0.0,"Miami,Ohio",84039109,Ohio,106987.0,-84.22871271,40.0543329,US,"Miami, Ohio, US",Miami,2020-11-01,2381,11,0.5602883355176933,0.0,22.255040332002952
8245,0.0,"Monroe,Ohio",84039111,Ohio,13654.0,-81.08464734,39.72984936,US,"Monroe, Ohio, US",Monroe,2020-07-01,86,7,0.08860759493670889,0.0,6.298520580049803
5455,0.0,"Monroe,Ohio",84039111,Ohio,13654.0,-81.08464734,39.72984936,US,"Monroe, Ohio, US",Monroe,2020-08-01,89,8,0.03488372093023262,0.0,6.518236414237586
2665,0.0,"Monroe,Ohio",84039111,Ohio,13654.0,-81.08464734,39.72984936,US,"Monroe, Ohio, US",Monroe,2020-09-01,104,9,0.1685393258426966,0.0,7.616815585176505
26965,0.0,"Monroe,Ohio",84039111,Ohio,13654.0,-81.08464734,39.72984936,US,"Monroe, Ohio, US",Monroe,2020-10-01,110,10,0.05769230769230771,0.0,8.056247253552073
24175,0.0,"Monroe,Ohio",84039111,Ohio,13654.0,-81.08464734,39.72984936,US,"Monroe, Ohio, US",Monroe,2020-11-01,201,11,0.8272727272727274,0.0,14.720960890581514
8247,0.0,"Morgan,Ohio",84039115,Ohio,14508.0,-81.85308173,39.62081738,US,"Morgan, Ohio, US",Morgan,2020-07-01,9,7,0.8,0.0,0.6203473945409429
5457,0.0,"Morgan,Ohio",84039115,Ohio,14508.0,-81.85308173,39.62081738,US,"Morgan, Ohio, US",Morgan,2020-08-01,18,8,1.0,0.0,1.2406947890818858
2667,0.0,"Morgan,Ohio",84039115,Ohio,14508.0,-81.85308173,39.62081738,US,"Morgan, Ohio, US",Morgan,2020-09-01,44,9,1.4444444444444446,0.0,3.032809484422388
26967,0.0,"Morgan,Ohio",84039115,Ohio,14508.0,-81.85308173,39.62081738,US,"Morgan, Ohio, US",Morgan,2020-10-01,51,10,0.15909090909090917,0.0,3.5153019023986767
24177,0.0,"Morgan,Ohio",84039115,Ohio,14508.0,-81.85308173,39.62081738,US,"Morgan, Ohio, US",Morgan,2020-11-01,104,11,1.0392156862745097,0.0,7.168458781362007
